index,Aveg1L,Aveg1R,Aveg2L,Aveg2R,Aveg3L,Aveg4L
157,0.229647,0.191450,0.112992,0.094565,0.028788,0.024647
158,0.232897,0.194099,0.114694,0.095873,0.029220,0.025001
159,0.236203,0.196823,0.116310,0.097302,0.029668,0.025357
160,0.239468,0.199494,0.117987,0.098699,0.030111,0.025735
161,0.242773,0.202276,0.119619,0.100070,0.030546,0.026104
162,0.246201,0.204998,0.121281,0.101449,0.031021,0.026509
163,0.249516,0.207853,0.122938,0.102834,0.031480,0.026891
164,0.252936,0.210694,0.124615,0.104258,0.031917,0.027273
165,0.256340,0.213508,0.126337,0.105707,0.032372,0.027660
166,0.259786,0.216333,0.128105,0.107141,0.032850,0.028044
167,0.263231,0.219175,0.129814,0.108557,0.033300,0.028430
168,0.266652,0.222064,0.131644,0.109974,0.033795,0.028860
169,0.270112,0.225029,0.133364,0.111455,0.034280,0.029263
170,0.273669,0.227938,0.135200,0.112929,0.034761,0.029669
171,0.277189,0.230781,0.137056,0.114388,0.035265,0.030051
172,0.280728,0.233721,0.138925,0.115873,0.035801,0.030464
173,0.284346,0.236705,0.140783,0.117383,0.036335,0.030864
174,0.288051,0.239617,0.142604,0.118890,0.036842,0.031304
175,0.291797,0.242630,0.144428,0.120405,0.037342,0.031716
176,0.295545,0.245625,0.146353,0.121904,0.037851,0.032134
177,0.299162,0.248622,0.148234,0.123402,0.038370,0.032568
178,0.302932,0.251742,0.150193,0.124943,0.038913,0.033008
179,0.306674,0.254833,0.152101,0.126517,0.039435,0.033417
180,0.310406,0.257867,0.154054,0.128069,0.039979,0.033887
181,0.314143,0.261045,0.155998,0.129637,0.040540,0.034329
182,0.317902,0.264164,0.157958,0.131245,0.041098,0.034749
183,0.321617,0.267324,0.159913,0.132842,0.041635,0.035175
184,0.325443,0.270504,0.161925,0.134420,0.042171,0.035615
185,0.329221,0.273651,0.163973,0.136053,0.042716,0.036074
186,0.333027,0.276783,0.166073,0.137724,0.043287,0.036527
187,0.336848,0.280012,0.168078,0.139341,0.043813,0.036992
188,0.340681,0.283156,0.170164,0.141008,0.044359,0.037423
189,0.344489,0.286359,0.172196,0.142700,0.044913,0.037872
190,0.348239,0.289640,0.174219,0.144308,0.045466,0.038351
191,0.352073,0.292842,0.176262,0.146016,0.046039,0.038808
192,0.355787,0.296054,0.178350,0.147741,0.046606,0.039282
193,0.359499,0.299297,0.180441,0.149430,0.047175,0.039747
194,0.363190,0.302516,0.182486,0.151172,0.047753,0.040219
195,0.366849,0.305807,0.184614,0.152835,0.048336,0.040729
196,0.370540,0.309203,0.186804,0.154592,0.048940,0.041224
197,0.374146,0.312520,0.189023,0.156389,0.049534,0.041684
198,0.377815,0.315795,0.191230,0.158080,0.050140,0.042155
199,0.381492,0.319139,0.193392,0.159802,0.050732,0.042636
200,0.385024,0.322475,0.195543,0.161591,0.051307,0.043132
201,0.388578,0.325838,0.197737,0.163403,0.051895,0.043636
202,0.392054,0.329136,0.199966,0.165211,0.052518,0.044109
203,0.395430,0.332476,0.202235,0.167064,0.053165,0.044612
204,0.398777,0.335839,0.204520,0.168879,0.053778,0.045109
205,0.402073,0.339122,0.206729,0.170697,0.054420,0.045623
206,0.405283,0.342447,0.208996,0.172592,0.055042,0.046136
207,0.408421,0.345742,0.211258,0.174454,0.055673,0.046636
208,0.411503,0.349117,0.213531,0.176321,0.056323,0.047121
209,0.414597,0.352363,0.215917,0.178194,0.056956,0.047654
210,0.417628,0.355692,0.218210,0.180043,0.057577,0.048173
211,0.420551,0.358989,0.220557,0.181986,0.058211,0.048698
212,0.423441,0.362241,0.222900,0.183875,0.058862,0.049205
213,0.426307,0.365557,0.225222,0.185807,0.059495,0.049734
214,0.429099,0.368804,0.227588,0.187677,0.060113,0.050261
215,0.431769,0.371899,0.229916,0.189583,0.060770,0.050815
216,0.434366,0.375050,0.232310,0.191495,0.061432,0.051354
217,0.436884,0.378237,0.234699,0.193486,0.062081,0.051860
218,0.439365,0.381307,0.237076,0.195474,0.062748,0.052413
219,0.441785,0.384453,0.239428,0.197477,0.063390,0.052947
220,0.444161,0.387552,0.241942,0.199492,0.064054,0.053536
221,0.446411,0.390584,0.244450,0.201447,0.064734,0.054112
222,0.448639,0.393625,0.246884,0.203459,0.065413,0.054684
223,0.450734,0.396553,0.249350,0.205457,0.066097,0.055216
224,0.452809,0.399451,0.251835,0.207527,0.066811,0.055760
225,0.454852,0.402245,0.254321,0.209470,0.067498,0.056318
226,0.456794,0.405032,0.256863,0.211490,0.068198,0.056871
227,0.458682,0.407783,0.259341,0.213500,0.068860,0.057432
228,0.460542,0.410509,0.261843,0.215580,0.069566,0.058010
229,0.462287,0.413214,0.264340,0.217629,0.070294,0.058541
230,0.464024,0.415811,0.266885,0.219694,0.071019,0.059101
231,0.465617,0.418365,0.269468,0.221801,0.071742,0.059672
232,0.467231,0.420922,0.272016,0.223913,0.072467,0.060230
233,0.468765,0.423373,0.274552,0.225959,0.073191,0.060811
234,0.470251,0.425782,0.277130,0.228116,0.073900,0.061384
235,0.471689,0.428101,0.279709,0.230214,0.074670,0.061931
236,0.473011,0.430422,0.282313,0.232265,0.075384,0.062529
237,0.474277,0.432629,0.284997,0.234462,0.076142,0.063123
238,0.475529,0.434842,0.287713,0.236592,0.076897,0.063728
239,0.476750,0.437026,0.290390,0.238747,0.077632,0.064338
240,0.477946,0.439117,0.293018,0.240885,0.078399,0.064960
241,0.479089,0.441127,0.295660,0.243112,0.079167,0.065572
242,0.480150,0.443142,0.298217,0.245334,0.079890,0.066182
243,0.481187,0.445051,0.300839,0.247531,0.080663,0.066804
244,0.482168,0.446946,0.303560,0.249725,0.081473,0.067404
245,0.483124,0.448730,0.306231,0.251992,0.082257,0.068022
246,0.484009,0.450536,0.308965,0.254256,0.083013,0.068618
247,0.484858,0.452292,0.311657,0.256510,0.083806,0.069246
248,0.485649,0.454012,0.314386,0.258807,0.084584,0.069866
249,0.486466,0.455658,0.317078,0.261061,0.085438,0.070506
250,0.487208,0.457292,0.319786,0.263352,0.086243,0.071137
251,0.487951,0.458872,0.322528,0.265671,0.087042,0.071789
252,0.488648,0.460423,0.325272,0.267883,0.087810,0.072466
253,0.489321,0.461889,0.327940,0.270117,0.088610,0.073105
254,0.489937,0.463287,0.330782,0.272435,0.089398,0.073731
255,0.490558,0.464722,0.333514,0.274736,0.090204,0.074350
256,0.491125,0.466096,0.336252,0.277108,0.091024,0.074999
257,0.491647,0.467469,0.339033,0.279427,0.091840,0.075642
258,0.492142,0.468751,0.341714,0.281725,0.092666,0.076288
259,0.492632,0.470028,0.344487,0.284067,0.093522,0.076940
260,0.493095,0.471265,0.347163,0.286420,0.094367,0.077599
261,0.493541,0.472432,0.349808,0.288791,0.095224,0.078257
262,0.493934,0.473649,0.352380,0.291123,0.096036,0.078921
263,0.494327,0.474784,0.355052,0.293484,0.096879,0.079565
264,0.494680,0.475867,0.357662,0.295802,0.097762,0.080225
265,0.495029,0.476914,0.360387,0.298172,0.098592,0.080879
266,0.495337,0.477927,0.363029,0.300606,0.099407,0.081546
