index,Aveg1L,Aveg1R,Aveg2L,Aveg2R,Aveg3L,Aveg3R
37,0.009008,0.010140,0.004454,0.005478,0.000703,0.000970
38,0.009553,0.010743,0.004728,0.005782,0.000734,0.001013
39,0.010165,0.011314,0.005021,0.006075,0.000773,0.001058
40,0.010775,0.011915,0.005305,0.006379,0.000809,0.001112
41,0.011398,0.012559,0.005605,0.006698,0.000847,0.001158
42,0.012044,0.013218,0.005903,0.007018,0.000892,0.001210
43,0.012687,0.013890,0.006220,0.007362,0.000931,0.001254
44,0.013383,0.014600,0.006561,0.007688,0.000984,0.001305
45,0.014082,0.015314,0.006916,0.008038,0.001025,0.001353
46,0.014785,0.016024,0.007258,0.008413,0.001072,0.001406
47,0.015526,0.016763,0.007644,0.008793,0.001115,0.001456
48,0.016260,0.017548,0.008014,0.009207,0.001158,0.001507
49,0.017050,0.018345,0.008380,0.009579,0.001196,0.001564
50,0.017844,0.019209,0.008778,0.010009,0.001246,0.001627
51,0.018657,0.020078,0.009170,0.010434,0.001298,0.001695
52,0.019536,0.020956,0.009553,0.010870,0.001347,0.001752
53,0.020421,0.021891,0.009999,0.011320,0.001401,0.001817
54,0.021280,0.022774,0.010440,0.011801,0.001462,0.001879
55,0.022182,0.023693,0.010863,0.012269,0.001521,0.001937
56,0.023043,0.024644,0.011317,0.012747,0.001580,0.001994
57,0.023967,0.025612,0.011768,0.013236,0.001642,0.002078
58,0.024919,0.026609,0.012224,0.013716,0.001699,0.002142
59,0.025881,0.027647,0.012705,0.014232,0.001765,0.002219
60,0.026855,0.028658,0.013179,0.014728,0.001837,0.002292
61,0.027883,0.029717,0.013697,0.015286,0.001912,0.002356
62,0.028880,0.030817,0.014199,0.015829,0.001981,0.002432
63,0.029874,0.031904,0.014732,0.016388,0.002042,0.002503
64,0.030925,0.033058,0.015302,0.016954,0.002115,0.002576
65,0.031985,0.034246,0.015856,0.017550,0.002188,0.002661
66,0.033080,0.035388,0.016412,0.018162,0.002266,0.002726
67,0.034218,0.036553,0.017007,0.018782,0.002343,0.002809
68,0.035358,0.037767,0.017603,0.019422,0.002426,0.002888
69,0.036564,0.038967,0.018215,0.020037,0.002518,0.002966
70,0.037715,0.040211,0.018812,0.020677,0.002595,0.003057
71,0.038912,0.041489,0.019422,0.021307,0.002682,0.003141
72,0.040113,0.042781,0.020040,0.021945,0.002761,0.003217
73,0.041306,0.044065,0.020683,0.022585,0.002870,0.003294
74,0.042560,0.045391,0.021292,0.023287,0.002966,0.003380
75,0.043831,0.046667,0.021943,0.023965,0.003046,0.003476
76,0.045109,0.047987,0.022613,0.024670,0.003141,0.003557
77,0.046441,0.049330,0.023296,0.025374,0.003240,0.003644
78,0.047744,0.050731,0.023928,0.026077,0.003334,0.003741
79,0.049099,0.052119,0.024577,0.026810,0.003427,0.003835
80,0.050441,0.053581,0.025249,0.027565,0.003535,0.003925
81,0.051829,0.055013,0.025981,0.028344,0.003627,0.004018
82,0.053231,0.056470,0.026674,0.029100,0.003724,0.004120
83,0.054628,0.057924,0.027410,0.029890,0.003829,0.004228
84,0.056036,0.059432,0.028177,0.030674,0.003929,0.004329
85,0.057504,0.060992,0.028950,0.031492,0.004031,0.004433
86,0.059039,0.062488,0.029661,0.032282,0.004138,0.004527
87,0.060515,0.064062,0.030450,0.033144,0.004247,0.004639
88,0.062026,0.065679,0.031238,0.033990,0.004354,0.004747
89,0.063585,0.067281,0.032033,0.034870,0.004474,0.004852
90,0.065148,0.068854,0.032827,0.035740,0.004581,0.004956
91,0.066743,0.070494,0.033629,0.036602,0.004689,0.005060
92,0.068386,0.072189,0.034440,0.037477,0.004804,0.005166
93,0.070031,0.073827,0.035237,0.038431,0.004919,0.005268
94,0.071696,0.075508,0.036105,0.039373,0.005027,0.005378
95,0.073411,0.077214,0.036943,0.040355,0.005154,0.005488
96,0.075101,0.078975,0.037774,0.041293,0.005273,0.005596
97,0.076848,0.080745,0.038656,0.042252,0.005401,0.005726
98,0.078624,0.082554,0.039521,0.043240,0.005531,0.005853
99,0.080393,0.084363,0.040406,0.044264,0.005677,0.005977
100,0.082200,0.086179,0.041316,0.045248,0.005817,0.006103
101,0.084032,0.088010,0.042236,0.046258,0.005964,0.006235
102,0.085897,0.089888,0.043151,0.047271,0.006097,0.006349
103,0.087770,0.091819,0.044050,0.048258,0.006227,0.006481
104,0.089641,0.093754,0.044965,0.049318,0.006369,0.006628
105,0.091601,0.095688,0.045889,0.050370,0.006498,0.006776
106,0.093585,0.097579,0.046852,0.051423,0.006632,0.006901
107,0.095547,0.099573,0.047817,0.052477,0.006753,0.007040
108,0.097520,0.101597,0.048783,0.053550,0.006897,0.007185
109,0.099543,0.103574,0.049747,0.054639,0.007047,0.007324
110,0.101562,0.105635,0.050753,0.055735,0.007182,0.007471
111,0.103616,0.107720,0.051761,0.056890,0.007317,0.007592
112,0.105645,0.109842,0.052786,0.057979,0.007449,0.007736
113,0.107783,0.111942,0.053875,0.059091,0.007590,0.007891
114,0.109869,0.114029,0.054954,0.060203,0.007739,0.008046
115,0.112018,0.116163,0.056030,0.061398,0.007899,0.008190
116,0.114121,0.118286,0.057094,0.062567,0.008055,0.008335
117,0.116293,0.120435,0.058213,0.063729,0.008209,0.008491
118,0.118466,0.122719,0.059301,0.064886,0.008361,0.008651
119,0.120707,0.124925,0.060417,0.066047,0.008523,0.008806
120,0.122937,0.127150,0.061547,0.067230,0.008679,0.008967
121,0.125170,0.129373,0.062653,0.068425,0.008846,0.009136
122,0.127444,0.131603,0.063785,0.069658,0.008992,0.009318
